Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments,Notes,Shape ID
88,Rectangle,Lucidspark Shapes,2,,,,,,,,Do you have anyone in place to do the construction once it gets approved?,,,qReNBnuMJko1
89,Rectangle,Lucidspark Shapes,2,,,,,,,,I can help with that. ,,,QTeNK2teP7rm
90,Rectangle,Lucidspark Shapes,2,,,,,,,,"Ok no worries. Well I'll text you over my company's information and if you ever run into a problem during this process give me a call. I'd be happy to help.
Good luck with Everything",,,B72MnEMdMsg6
91,Rectangle,Lucidspark Shapes,2,,,,,,,,"and that's exactly what we're here for. Nobody wants deal with it, so we handle everythign from here to approved claim and new roof on your building, all it would take is 20 minutes so I can walk you through the process. Are you going to be at your building this week?",,,FNVwF2ElV98z
92,Rectangle,Lucidspark Shapes,2,,,,,,,,Since we are already going to be in the area we can do it for free.,,,.e2xNFYNeY2Z
93,Sticky note,Sticky Notes,2,,,,,,,,"gotcha that's why I called. We're gonna be nearby your building (this week, next week, tommorow, etc) 
We can go ahead and inspect it and let you know if there's anything to be worried about. ",,,dqxm0LvbvC4m
94,Rectangle,Lucidspark Shapes,2,,,,,,,,No worries. Well I just send over more information about us and this process incase you ever need our help in the future,,,2.gNhLLaBm.H
95,Rectangle,Lucidspark Shapes,2,,,,,,,,"A certificate of clearnance. It's basically a report to turn into the insurance company that shows you had a contractor come out, inspect, and your roof was free of damage. As well as a photo report for your records. It can keep the insurance companies from raising your rates due to a storm. ",,,3CeN4TV_9TuK
96,Rectangle,Lucidspark Shapes,2,,,,,,,,"but before we talk more about this I have no idea if a claim is even neccessary. My job is to let you know if the damage is bad enough to even go down that path, so while my guys are in the area I'll have them take a look at your property and let you know what's up",,,DTVwv9iq4Zh-
97,Rectangle,Lucidspark Shapes,2,,,,,,,,Close,,,Ck.FVB1rz0cN
98,Rectangle,Lucidspark Shapes,2,,,,,,,,Close,,,4ghNoT_THMSK
99,Rectangle,Lucidspark Shapes,2,,,,,,,,Qualify,,,.hhN874hu7Sm
100,Rectangle,Lucidspark Shapes,2,,,,,,,,Close,,,8ghNsGeaARrl
101,Text,Standard,2,,,,,,,,First Ask,,,3x7MWu-u9owJ
102,Rectangle,Lucidspark Shapes,2,,,,,,,,2,,,rj.F-xt3uYtA
103,Rectangle,Lucidspark Shapes,2,,,,,,,,I figured that storm was really bad. Do you guys plan on getting the roof repaired or replaced through insurance?,,,VmewyDnrCYph
104,Rectangle,Lucidspark Shapes,2,,,,,,,,I'm happy to hear that. Did you guys end up having damage?,,,0gewriCLN8eJ
105,Rectangle,Lucidspark Shapes,2,,,,,,,,Wow that's awesome. I'm glad that storm missed you guys the damage i've seen has been pretty bad. Well just so nobody else calls you again...,,,ukews~Qn9I7E
106,Rectangle,Lucidspark Shapes,2,,,,,,,,"Totally understand the concern. Unfortunatly this is one of those
damned if you do damned if you don't situations. The damage your carrier will see your building as a liability. Putting you at risk of being dropped anyway.",,,uPVwhNLeEJt6
107,Rectangle,Lucidspark Shapes,2,,,,,,,,Close,,,tQhNDplRU3ES
108,Rectangle,Lucidspark Shapes,2,,,,,,,,"Got it, the only reason I called is because our weather radar says (hail size) hit the building. So regardless if there's damage or not it's important to document the affects of this storm for your insurance. This protects you from future insurance denials when you do get storm damage. Would you be opposed to us getting those photos for you when we're nearby your building (next week, later this week, etc)",,,dImoWFBAWyh2
109,Rectangle,Lucidspark Shapes,2,,,,,,,,"Perfect, is this a guy that called you out of the blue or someone you've done a lot of work with in the past?",,,L21x1-KGkrhy
110,Rectangle,Lucidspark Shapes,2,,,,,,,,Perfect. What time this week works best to do a quick zoom call and go over everything?,,,0cXQ2LQkx56R
111,Rectangle,Lucidspark Shapes,2,,,,,,,,"Ok great. What day works best for me to stop by?....
Are mornings or afternoons better?....",,,1cXQ6nFXq.OL
112,Rectangle,Lucidspark Shapes,2,,,,,,,,Meeting Scheduled,,,nfXQxAeVSjEj
113,Sticky note,Sticky Notes,2,,,,,,,,We got called out to do a few inspections up the street from you and have been finding some pretty bad hail damage. Did you have someone inspect your building after that storm in (date). ,,,qCum0cR9qiSO
114,Rectangle,Lucidspark Shapes,2,,,,,,,,3,,,qk.FQ81ejDjK
119,Rectangle,Lucidspark Shapes,2,,,,,,,,"Of course not, just so no one from my company calls you again (I'll go ahead and put a note in the file,) did somone already take a look or you  just don't have any leaks after the storm?",,,2Nmod83v_Hdz
218,Sticky note,Sticky Notes,2,,,,,,,,CALL STARTS HERE,,,​-m48utkrnkM.
219,Line,,2,,,4,3,None,None,,LEAD OFF,,,3x7MFVrYiswo
220,Line,,2,,,4,5,None,None,,NO LEAD OFF,,,3x7M0eiZrDt5
221,Line,,2,,,3,113,None,Equilateral Arrow,,Ok. What about it,,,jzumy3al-BhV
222,Line,,2,,,5,113,None,Equilateral Arrow,,Yes. What about it,,,aAumR17I92Iz
223,Line,,2,,,113,109,None,Equilateral Arrow,,I have roofer,,,DFumNnRH2POb
224,Line,,2,,,113,6,None,Equilateral Arrow,,Don't have damage,,,dGumMLa3EHV.
225,Line,,2,,,113,28,None,Equilateral Arrow,,I'll call my insurance,,,yGumbDp8Nqgj
226,Line,,2,,,113,93,None,Equilateral Arrow,,No one has inspected the building yet.,,,qHumndS-f7Xm
227,Line,,2,,,113,104,None,Equilateral Arrow,,"Yes, it's been inspected",,,nSum4fgFjLmv
228,Line,,2,,,113,119,None,Equilateral Arrow,,"""Not Interested""",,,_qxmRpBE0_g7
229,Line,,2,,,7,17,None,Equilateral Arrow,,,,,PumoRFC2L7Z.
230,Line,,2,,,7,17,None,Equilateral Arrow,,"""my email is...""",,,GGsnVsuB9OM4
231,Line,,2,,,6,108,None,Equilateral Arrow,,NO,,,lGmo7JnSVzEg
232,Line,,2,,,6,8,None,Equilateral Arrow,,YES,,,xGmo9upagoDb
233,Line,,2,,,8,95,None,Equilateral Arrow,,"""a what?""",,,nLmoFjxJORs4
234,Line,,2,,,108,71,None,Equilateral Arrow,,Ok you can inspect,,,YLmoxgMwJyk0
235,Line,,2,,,28,92,None,Equilateral Arrow,,And,,,KGewm2uU3Of~
236,Line,,2,,,104,103,None,Equilateral Arrow,,Damage,,,whewIRLngl94
237,Line,,2,,,104,105,None,Equilateral Arrow,,No Damage,,,UhewrxJXME8p
238,Line,,2,,,103,10,None,Equilateral Arrow,,Yes ,,,Goew6p6Pmgik
239,Line,,2,,,103,9,None,Equilateral Arrow,,No?,,,Roew3gDz8-iX
240,Line,,2,,,10,109,None,Equilateral Arrow,,Yes,,,hsewhtUgrAj_
241,Line,,2,,,10,15,None,Equilateral Arrow,,no,,,lsew2fSjY1F1
242,Line,,2,,,93,82,None,Equilateral Arrow,,"""Let me think about it...."" ",,,fUww8YDL0krz
243,Line,,2,,,82,81,None,Equilateral Arrow,,*tells you their concerns*,,,B0wwJ4bjOWW0
244,Line,,2,,,27,96,None,Equilateral Arrow,,,,,gTVw.P.BrP_I
245,Line,,2,,,81,71,None,Equilateral Arrow,,,,,AdxwDDHBgy_E
246,Line,,2,,,15,16,None,Equilateral Arrow,,No,,,IAVwlaBfodX3
247,Line,,2,,,17,18,None,Equilateral Arrow,,,,,yjxwiO~lxrgF
248,Line,,2,,,17,20,None,Equilateral Arrow,,,,,0kxwxD74dctE
249,Line,,2,,,21,22,None,Equilateral Arrow,,,,,9rxwU3lNDA_a
250,Line,,2,,,18,26,None,Equilateral Arrow,,,,,5kVwwHdsX0fy
251,Line,,2,,,20,21,None,Equilateral Arrow,,,,,_kVwQvl0-9LX
252,Line,,2,,,83,21,None,Equilateral Arrow,,OK,,,1nVwonMskW5W
253,Line,,2,,,9,27,None,Equilateral Arrow,,"""I don't want my premiums to go up""",,,2IVwyGyfm530
254,Line,,2,,,9,91,None,Equilateral Arrow,,"""I don't have time """,,,cJVw~slbXG9m
255,Line,,2,,,9,76,None,Equilateral Arrow,,Bad policy,,,iLVwrySI0o8d
256,Line,,2,,,13,109,None,Equilateral Arrow,,Roofer,,,s21xkVDRo6Hk
257,Line,,2,,,93,92,None,Equilateral Arrow,,How much does this cost?,,,Ee2x992PDpZl
258,Line,,2,,,113,13,None,Equilateral Arrow,,I'll get someone else to look,,,3p8wHHZEZSqC
259,Line,,2,,,92,71,None,Equilateral Arrow,,"""ok great""",,,Nf2xi.thGt.e
260,Line,,2,,,13,14,None,Equilateral Arrow,,Maintence guy,,,XwXx5sEYCuz5
261,Line,,2,,,106,29,None,Equilateral Arrow,,I understand ,,,0w3xCUPYnut-
262,Line,,2,,,9,106,None,Equilateral Arrow,,"""dropped by insurance""",,,.A3xE81c.Hx7
263,Line,,2,,,103,10,None,Equilateral Arrow,,We filed a claim,,,DKcC_Oanoc1R
264,Line,,2,,,102,,None,Equilateral Arrow,,,,,​-j.FOJoZCoEU
265,Line,,2,,,102,,None,Equilateral Arrow,,,,,ak.F~-3qbVp7
266,Line,,2,,,65,68,None,Equilateral Arrow,,Yes,,,Mk4M-SA4mzDf
267,Line,,2,,,113,32,None,Equilateral Arrow,,We aren't having any problems,,,bksGwgP8zI6f
268,Line,,2,,,103,33,None,Equilateral Arrow,,They denied the claim,,,b02M12PdqWJp
269,Line,,2,,,109,34,None,Equilateral Arrow,,out the blue,,,​-t3M_WCk-.Us
270,Line,,2,,,109,64,None,Equilateral Arrow,,long time roofer,,,~t3Mc1AlUNrI
271,Line,,2,,,35,7,None,Equilateral Arrow,,,,,zl.F9L~RjlJ7
272,Line,,2,,,35,17,None,Equilateral Arrow,,,,,Dl.FsVXFdpHV
273,Line,,2,,,37,26,None,Equilateral Arrow,,,,,Yo.FuD4Wm5Ra
291,Line,,2,,,65,72,None,Equilateral Arrow,,No,,,Ck4MGS6.lALw
292,Line,,2,,,71,79,None,Equilateral Arrow,,YES,,,Y_4MQoMPpy2j
293,Line,,2,,,93,71,None,Equilateral Arrow,,,,,fg5MrKF--hGe
294,Line,,2,,,34,65,None,Equilateral Arrow,,,,,SQ4MNkMxAgM7
295,Line,,2,,,64,65,None,Equilateral Arrow,,,,,VQ4MXOHxaNOy
296,Line,,2,,,79,80,None,Equilateral Arrow,,,,,9e5M1aRA4m5n
297,Line,,2,,,80,7,None,Equilateral Arrow,,,,,6f5MEL9~HRNh
298,Line,,2,,,69,70,None,Equilateral Arrow,,,,,1f5M5gPAOLyI
299,Line,,2,,,70,7,None,Equilateral Arrow,,,,,3f5Mzrw_87Vu
300,Line,,2,,,71,69,None,Equilateral Arrow,,NO,,,Kg5MbdoUzGpI
301,Line,,2,,,68,7,None,Equilateral Arrow,,,,,qs5MH_VN9Hgi
302,Line,,2,,,72,7,None,Equilateral Arrow,,,,,3t5MyvwIqnqt
303,Line,,2,,,113,76,None,Equilateral Arrow,,I Dont Have Insurance/ Im Not Filing a Claim,,,oreNb8_rI8Km
304,Line,,2,,,76,77,None,Equilateral Arrow,,they have issues,,,jueNPp.XvS3f
305,Line,,2,,,76,78,None,Equilateral Arrow,,No issues,,,hweNs3~Ujdc-
306,Line,,2,,,78,77,None,Equilateral Arrow,,,,,.weN1NSrVeg4
307,Line,,2,,,77,7,None,Equilateral Arrow,,This time works...,,,4zeNMNkmqlxM
308,Line,,2,,,95,92,None,Equilateral Arrow,,,,,WDeNGTif6wAY
309,Line,,2,,,20,,None,Equilateral Arrow,,,,,Ck5MvkF9L1H6
310,Line,,2,,,26,83,None,Equilateral Arrow,, I use these guys,,,Rk5M20XUmsVM
311,Line,,2,,,33,84,None,Equilateral Arrow,,Still no,,,nLeN-O_t6BKD
313,Line,,2,,,33,65,None,Equilateral Arrow,,YES,,,4NeNOs_m-vxW
314,Line,,2,,,15,88,None,Equilateral Arrow,,yes,,,XQeN-KNOPoiz
315,Line,,2,,,21,,None,Equilateral Arrow,,,,,WI5Mf-UgmJpb
316,Line,,2,,,16,7,None,Equilateral Arrow,,"""this time""",,,xTeN4_hyJ.pF
317,Line,,2,,,89,7,None,Equilateral Arrow,,,,,eUeNwCfogwEG
318,Line,,2,,,88,89,None,Equilateral Arrow,,no,,,QReNiKyXa_3n
319,Line,,2,,,29,90,None,Equilateral Arrow,,"""Not interested""",,,MF3xL0a~JDFM
320,Line,,2,,,94,7,None,Equilateral Arrow,,,,,sahNdbtLTt2G
321,Line,,2,,,16,94,None,Equilateral Arrow,,No,,,D.gNVn-mVi~5
322,Line,,2,,,96,90,None,Equilateral Arrow,,NO,,,vfhN~pPtRDag
323,Line,,2,,,88,109,None,Equilateral Arrow,,Yes,,,0ReN_onROR-N
324,Line,,2,,,96,71,None,Equilateral Arrow,,OK,,,9UVwAhTQbmrD
325,Line,,2,,,91,110,None,Equilateral Arrow,,Not at building,,,xcXQ.SH4wGo2
326,Line,,2,,,91,111,None,Equilateral Arrow,,At building,,,BcXQ4E1N7t-L
327,Line,,2,,,111,112,None,Equilateral Arrow,,,,,kfXQ-Oqq0SUL
328,Line,,2,,,110,7,None,Equilateral Arrow,,This time.,,,HgXQu9kMpA~K
329,Line,,2,,,111,90,None,Equilateral Arrow,,No thanks,,,KhXQO0ZyqZ7L
330,Line,,2,,,110,90,None,Equilateral Arrow,,No thanks,,,chXQRi3WZFou
331,Line,,2,,,84,7,None,Equilateral Arrow,,Ok sounds good,,,osZQ4EsxpPGP
338,Line,,2,,,14,92,None,Equilateral Arrow,,,,,BZ1QtRX_RDHG
339,Line,,2,,,32,92,None,Equilateral Arrow,,,,,.01QMwi.JXlF
340,Line,,2,,,105,8,None,Equilateral Arrow,,,,,I11QrNI5XalS
375,Line,,2,,,29,96,None,Equilateral Arrow,,,,,66oQbCIfKIPn
469,Line,,2,,,218,4,None,Equilateral Arrow,,,,,gn48ndl_0zwR
